idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
39,6.521739130434782,6.521739130434782,4.988343845952697,-16.023636200470058,1.0,-0.08573070215540363,3.7600155043242585,0.0,0.0,0.0,0.0,70
40,6.688963210702341,6.688963210702341,4.969602670032396,-16.651497416910473,1.0,-0.1383147968922517,3.7458891501262164,0.0,0.0,0.0,0.0,70
41,6.8561872909699,6.8561872909699,4.942084716557295,-17.276441936298227,1.0,-0.19065461491615307,3.7251472095325195,0.0,0.0,0.0,0.0,70
42,7.023411371237458,7.023411371237458,4.905838584776157,-17.897366048861148,1.0,-0.24265771927177865,3.697826314727034,0.0,0.0,0.0,0.0,70
43,7.190635451505017,7.190635451505017,4.860928288707202,-18.513173145237033,1.0,-0.29423226767124333,3.66397471693469,0.0,0.0,0.0,0.0,70
44,7.357859531772576,7.357859531772576,4.807433144083434,-19.122775653187134,1.0,-0.34528717469607934,3.623652201205428,0.0,0.0,0.0,0.0,70
45,7.525083612040134,7.525083612040134,4.74544762827373,-19.725096958349216,1.0,-0.39573227266251626,3.5769299808281985,0.0,0.0,0.0,0.0,70
46,7.6923076923076925,7.6923076923076925,4.675081213427074,-20.319073305638035,1.0,-0.4454784708659279,3.5238905715617608,0.0,0.0,0.0,0.0,70
47,7.8595317725752505,7.8595317725752505,4.596458173134624,-20.903655677935088,1.0,-0.49443791292325623,3.4646276459042626,0.0,0.0,0.0,0.0,70
48,8.02675585284281,8.02675585284281,4.5097173629510685,-21.477811648749828,1.0,-0.5425241319355032,3.3992458676588906,0.0,0.0,0.0,0.0,70
49,8.193979933110368,8.193979933110368,4.415011975162884,-22.040527205580204,1.0,-0.5896522031962558,3.327860707087902,0.0,0.0,0.0,0.0,70
50,8.361204013377927,8.361204013377927,4.312509268236601,-22.590808540752473,1.0,-0.6357388941765738,3.2505982369815665,0.0,0.0,0.0,0.0,70
51,8.528428093645484,8.528428093645484,4.2023902714249,-23.12768380657738,1.0,-0.6807028115213315,3.1675949100018923,0.0,0.0,0.0,0.0,70
52,8.695652173913043,8.695652173913043,4.08484946505221,-23.650204831723002,1.0,-0.7244645447973953,3.0789973176946526,0.0,0.0,0.0,0.0,70
53,8.862876254180602,8.862876254180602,3.9600944370444995,-24.15744879577292,1.0,-0.7669468067397934,2.9849619315951323,0.0,0.0,0.0,0.0,70
54,9.03010033444816,9.03010033444816,3.828345516309804,-24.648519859012346,1.0,-0.8080745697481557,2.8856548268849203,0.0,0.0,0.0,0.0,70
55,9.19732441471572,9.19732441471572,3.689835383617022,-25.122550744563863,1.0,-0.8477751983924108,2.781251389087923,0.0,0.0,0.0,0.0,70
56,9.364548494983278,9.364548494983278,3.5448086606601676,-25.578704270078543,1.0,-0.8859785776936608,2.6719360043232276,0.0,0.0,0.0,0.0,70
57,9.531772575250836,9.531772575250836,3.393521478033859,-26.016174826277314,1.0,-0.9226172369536743,2.5579017336620495,0.0,0.0,0.0,0.0,70
58,9.698996655518394,9.698996655518394,3.23624102288302,-26.4341897997314,1.0,-0.9576264689144249,2.4393499721642375,0.0,0.0,0.0,0.0,70
59,9.866220735785953,9.866220735785953,3.0732450670256894,-26.832010937369034,1.0,-0.9909444440371048,2.3164900931959873,0.0,0.0,0.0,0.0,70
60,10.033444816053512,10.033444816053512,2.9048214763823155,-27.20893565029862,1.0,-1.0225123196987351,2.1895390786569897,0.0,0.0,0.0,0.0,70
61,10.200668896321071,10.200668896321071,2.7312677025779513,-27.56429825464562,1.0,-1.0522743441137081,2.058721135770433,0.0,0.0,0.0,0.0,70
62,10.367892976588628,10.367892976588628,2.55289025761519,-27.897471147211807,1.0,-1.0801779547966162,1.9242673011122844,0.0,0.0,0.0,0.0,70
63,10.535117056856187,10.535117056856187,2.3700041725456393,-28.207865913880497,1.0,-1.1061738713924247,1.7864150325794022,0.0,0.0,0.0,0.0,70
64,10.702341137123746,10.702341137123746,2.182932441095984,-28.49493436881027,1.0,-1.1302161827101507,1.6454077900168798,0.0,0.0,0.0,0.0,70
65,10.869565217391305,10.869565217391305,1.992005449231207,-28.758169522581795,1.0,-1.1522624278062596,1.5014946052455205,0.0,0.0,0.0,0.0,70
66,11.036789297658864,11.036789297658864,1.7975603916624514,-28.997106477588037,1.0,-1.172273670974636,1.35492964224866,0.0,0.0,0.0,0.0,70
67,11.20401337792642,11.20401337792642,1.5999406763299922,-29.211323249086362,1.0,-1.1902145705106184,1.2059717482949337,0.0,0.0,0.0,0.0,70
68,11.37123745819398,11.37123745819398,1.399495317913082,-29.400441510462596,1.0,-1.2060534411276804,1.0548839967902073,0.0,0.0,0.0,0.0,70
69,11.538461538461538,11.538461538461538,1.1965783214377905,-29.56412726139078,1.0,-1.2197623099166675,0.9019332226656296,0.0,0.0,0.0,0.0,70
70,11.705685618729097,11.705685618729097,0.9915480570713864,-29.702091417708626,1.0,-1.2313169657484782,0.7473895511224414,0.0,0.0,0.0,0.0,70
71,11.872909698996656,11.872909698996656,0.7847666272075294,-29.814090321966848,1.0,-1.2406970020331374,0.5915259205659298,0.0,0.0,0.0,0.0,70
72,12.040133779264213,12.040133779264213,0.5765992269599706,-29.899926173750742,1.0,-1.2478858527597474,0.4346176005709689,0.0,0.0,0.0,0.0,70
73,12.207357859531772,12.207357859531772,0.3674134991942374,-29.959447379013994,1.0,-1.2528708217536189,0.276941705730499,0.0,0.0,0.0,0.0,70
74,12.37458193979933,12.37458193979933,0.15757888523635138,-29.992548817807766,1.0,-1.255643105098862,0.11877670624560595,0.0,0.0,0.0,0.0,70
75,12.54180602006689,12.54180602006689,-0.052534027594680496,-29.999172029932257,1.0,-1.2561978066868833,-0.03959806387862822,0.0,0.0,0.0,0.0,70
76,12.709030100334449,12.709030100334449,-0.26255416047832614,-29.979305318182806,1.0,-1.2545339468634251,-0.19790290016281567,0.0,0.0,0.0,0.0,70
77,12.876254180602007,12.876254180602007,-0.47211059845201414,-29.93298376900824,1.0,-1.2506544641586865,-0.35585822163714836,0.0,0.0,0.0,0.0,70
78,13.043478260869565,13.043478260869565,-0.6808332454812299,-29.860289190544965,1.0,-1.2445662100976445,-0.5131850646073288,0.0,0.0,0.0,0.0,70
79,13.210702341137123,13.210702341137123,-0.888353478083332,-29.761349968136223,1.0,-1.2362799370995656,-0.6696055753301438,0.0,0.0,0.0,0.0,70
80,13.377926421404682,13.377926421404682,-1.0943047963506507,-29.63634083759174,1.0,-1.2258102794883037,-0.8248435007288613,0.0,0.0,0.0,0.0,70
81,13.545150501672241,13.545150501672241,-1.2983234712232337,-29.485482576588108,1.0,-1.2131757276466966,-0.9786246762817317,0.0,0.0,0.0,0.0,70
82,13.7123745819398,13.7123745819398,-1.5000491868679413,-29.30904161475504,1.0,-1.1983985953608531,-1.1306775102218865,0.0,0.0,0.0,0.0,70
83,13.879598662207357,13.879598662207357,-1.6991256770295378,-29.107329563135973,1.0,-1.181504980411941,-1.2807334631934122,0.0,0.0,0.0,0.0,70
84,14.046822742474916,14.046822742474916,-1.8952013542297932,-28.880702663854233,1.0,-1.1625247184850915,-1.4285275225167224,0.0,0.0,0.0,0.0,70
85,14.214046822742475,14.214046822742475,-2.087929930703482,-28.629561160956467,1.0,-1.1414913304768313,-1.573798670225471,0.0,0.0,0.0,0.0,70
86,14.381270903010034,14.381270903010034,-2.2769710299745536,-28.35434859354471,1.0,-1.11844196329407,-1.716290344048323,0.0,0.0,0.0,0.0,70
87,14.548494983277592,14.548494983277592,-2.4619907879924696,-28.05555101244532,1.0,-1.0934173242492373,-1.8557508905217002,0.0,0.0,0.0,0.0,70
88,14.715719063545151,14.715719063545151,-2.6426624427669414,-27.73369612179832,1.0,-1.066461609167401,-1.991934009433034,0.0,0.0,0.0,0.0,70
89,14.882943143812708,14.882943143812708,-2.8186669114598266,-27.389352347083104,1.0,-1.0376224243323837,-2.1245991888096567,0.0,0.0,0.0,0.0,70
90,15.050167224080267,15.050167224080267,-2.9896933539148947,-27.02312783122653,1.0,-1.0069507024096067,-2.2535121296852494,0.0,0.0,0.0,0.0,70
91,15.217391304347826,15.217391304347826,-3.1554397216302643,-26.635669360566297,1.0,-0.9745006124943525,-2.3784451598934377,0.0,0.0,0.0,0.0,70
