idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
41,4.113712374581939,-8.489130747865545,5.2853248855338855,-4.113712374581939,-99.56004960366081,-159.91037384716628,30.0,0.0,0.0,0.0,148.09364548494983,70
42,4.214046822742475,-8.805243942587,4.740008345091279,-4.214046822742475,-89.28788223609526,-165.8650211069744,30.0,0.0,0.0,0.0,151.7056856187291,70
43,4.314381270903009,-9.086374107304309,4.175859861406967,-4.314381270903009,-78.66097618285133,-171.1606904840733,30.0,0.0,0.0,0.0,155.31772575250835,70
44,4.414715719063545,-9.331404318392025,3.595120783324903,-4.414715719063545,-67.7215518952576,-175.7763424068262,30.000000000000007,0.0,0.0,0.0,158.9297658862876,70
45,4.51505016722408,-9.539361076503358,3.000098373735885,-4.51505016722408,-56.51307145233986,-179.69363899717365,30.000000000000007,0.0,0.0,0.0,162.5418060200669,70
46,4.615384615384616,-9.70941817426052,2.3931566428755766,-4.615384615384616,-45.08006588699139,-182.8970169265983,30.0,0.0,0.0,0.0,166.15384615384616,70
47,4.7157190635451505,-9.84089997875748,1.7767069561666662,-4.7157190635451505,-33.467958265209596,-185.37374924886763,30.0,0.0,0.0,0.0,169.76588628762542,70
48,4.816053511705686,-9.933284115833828,1.1531984539199411,-4.816053511705686,-21.722883221309694,-187.11399596389683,30.0,0.0,0.0,0.0,173.37792642140468,70
49,4.916387959866221,-9.986203545455204,0.5251083209566547,-4.916387959866221,-9.891503666090808,-188.1108431118408,30.0,0.0,0.0,0.0,176.98996655518394,70
50,5.016722408026756,-9.999448019954837,-0.10506805518936099,-5.016722408026756,1.9791746038248488,-188.36033024209596,30.0,0.0,0.0,0.0,180.6020066889632,70
51,5.117056856187291,-9.972964919342663,-0.7348269983884679,-5.117056856187291,13.841989658933695,-187.86146614807907,30.0,0.0,0.0,0.0,184.21404682274246,70
52,5.217391304347826,-9.906859460363307,-1.3616664909624643,-5.217391304347826,25.649810810101627,-186.6162328052677,30.0,0.0,0.0,0.0,187.82608695652175,70
53,5.317725752508361,-9.801394278472419,-1.983096114142766,-5.317725752508361,37.35572585769943,-184.6295774968579,30.0,0.0,0.0,0.0,191.43812709030098,70
54,5.418060200668896,-9.656988384392074,-2.596646942446463,-5.418060200668896,48.91322747268531,-181.90939315832273,30.0,0.0,0.0,0.0,195.05016722408027,70
55,5.518394648829431,-9.474215499390912,-3.199881352659974,-5.518394648829431,60.27639796914317,-178.46648701896208,30.0,0.0,0.0,0.0,198.6622073578595,70
56,5.618729096989966,-9.253801775902822,-3.7904027084595864,-5.618729096989966,71.40009173418436,-174.31453766503222,30.0,0.0,0.0,0.0,202.2742474916388,70
57,5.719063545150501,-8.99662291254018,-4.3658648821919614,-5.719063545150501,82.24011459042124,-169.47004069503913,30.000000000000007,0.0,0.0,0.0,205.88628762541802,70
58,5.819397993311037,-8.703700674963548,-4.923981575984936,-5.819397993311037,92.75339937840988,-163.9522431831089,30.000000000000007,0.0,0.0,0.0,209.49832775919734,70
59,5.919732441471572,-8.376198836430413,-5.462535405155904,-5.919732441471572,102.89817706147288,-157.7830672108057,30.0,0.0,0.0,0.0,213.1103678929766,70
60,6.0200668896321075,-8.01541855415102,-5.979386707829789,-6.0200668896321075,112.63414267311768,-150.9870227712158,30.0,0.0,0.0,0.0,216.72240802675586,70
61,6.120401337792642,-7.622793199820931,-6.472482045766043,-6.120401337792642,121.922615447731,-143.5911103913073,30.0,0.0,0.0,0.0,220.33444816053512,70
62,6.2207357859531776,-7.1998826648685395,-6.939862362621142,-6.2207357859531776,130.72669249836406,-135.62471385946603,30.0,0.0,0.0,0.0,223.94648829431438,70
63,6.321070234113712,-6.748367163042577,-7.3796707672340425,-6.321070234113712,139.01139543104716,-127.11948348438507,30.0,0.0,0.0,0.0,227.55852842809364,70
64,6.421404682274248,-6.27004055496187,-7.790159911011677,-6.421404682274248,146.7438093131387,-118.10921034912133,30.0,0.0,0.0,0.0,231.1705685618729,70
65,6.521739130434782,-5.766803221148673,-8.169698930104419,-6.521739130434782,153.89321344358788,-108.62969205990782,30.0,0.0,0.0,0.0,234.7826086956522,70
66,6.622073578595318,-5.240654511860948,-8.516779924790324,-6.622073578595318,160.43120340556547,-98.71859052309112,30.0,0.0,0.0,0.0,238.39464882943145,70
67,6.722408026755852,-4.693684803720142,-8.830023950325764,-6.722408026755852,166.3318039165611,-88.41528231525552,30.0,0.0,0.0,0.0,242.00668896321068,70
