# ts wx wy wz ax ay az
1654544064.339936 -1.203786 1.267703 -1.066362 -1.101878 33.446006 10.472196
1654544064.344937 -1.175022 1.202720 -0.994987 -0.915409 33.301643 10.430090
1654544064.349939 -1.176088 1.130280 -1.039730 -0.728948 33.157287 10.387986
1654544064.354940 -1.331621 1.094060 -1.140933 -0.542479 33.012924 10.345880
1654544064.359942 -1.445608 1.083407 -1.220830 -1.285005 33.966434 10.067337
1654544064.364944 -1.394474 1.079146 -1.282618 -1.429355 34.213033 9.941030
1654544064.369946 -1.444543 1.023750 -1.338013 -1.573699 34.459620 9.814730
1654544064.374940 -1.656537 0.915090 -1.398735 -0.943330 32.034183 9.261502
1654544064.379942 -1.814201 0.863956 -1.532962 -0.792873 31.263842 8.972624
1654544064.384943 -1.831246 0.870348 -1.592619 -0.642416 30.493500 8.683747
1654544064.389945 -1.902620 0.900176 -1.653341 -1.390974 29.503238 8.159527
1654544064.394947 -2.184924 0.907633 -1.846160 -1.607492 28.643181 7.774607
1654544064.399949 -2.282932 0.828801 -2.036848 -1.824020 27.783082 7.389667
1654544064.404950 -2.222209 0.742512 -2.040044 -0.593197 27.919916 6.759054
1654544064.409952 -2.326609 0.709488 -2.035783 -0.172214 27.498933 6.265903
1654544064.414954 -2.470424 0.773406 -2.177467 0.248768 27.077950 5.772752
1654544064.419955 -2.466162 0.797907 -2.266952 -1.077896 25.764264 5.895667
1654544064.424957 -2.644067 0.762753 -2.393722 -1.492851 24.916314 5.697210
1654544064.429959 -2.715442 0.721206 -2.613173 -1.907826 24.068322 5.498744
1654544064.434960 -2.777229 0.706292 -2.780425 -0.575822 24.323496 4.748494
1654544064.439962 -2.890151 0.739316 -2.864583 -0.076566 24.052815 4.261268
1654544064.444963 -2.959395 0.841585 -3.007333 0.422667 23.782147 3.774065
1654544064.449965 -2.956199 0.878870 -3.134104 0.921924 23.511466 3.286839
1654544064.454967 -3.040357 0.865021 -3.218262 -0.911894 22.945225 3.884138
1654544064.459969 -3.081904 0.818148 -3.388710 -1.266717 22.566347 3.793929
1654544064.464970 -3.183107 0.830932 -3.538917 -1.621539 22.187468 3.703720
1654544064.469972 -3.180977 0.871413 -3.682732 -0.242057 22.330342 3.782322
1654544064.474974 -3.219327 0.955571 -3.837200 0.082731 22.155919 3.758263
1654544064.479975 -3.254482 0.977943 -3.925619 0.407519 21.981496 3.734205
1654544064.484977 -3.259809 0.973681 -4.014039 0.361318 22.620452 3.738684
1654544064.489979 -3.175650 0.940657 -4.103524 0.529726 22.788860 3.726655
1654544064.494980 -3.226784 0.976877 -4.114177 0.698142 22.957276 3.714625
1654544064.499982 -3.193760 1.033338 -4.239882 0.576342 24.167756 3.583879
1654544064.504984 -3.102144 1.062101 -4.376240 0.612430 24.811317 3.517719
1654544064.509985 -3.052076 1.074885 -4.371979 0.648516 25.454848 3.451561
1654544064.514987 -3.110667 1.123888 -4.457202 0.914715 25.081047 4.717634
1654544064.519989 -3.105341 1.168631 -4.511532 1.065077 25.219380 5.313069
1654544064.524990 -3.031835 1.146260 -4.498749 1.215440 25.357713 5.908504
1654544064.529992 -3.006268 1.152651 -4.443354 1.365795 25.496039 6.503910
1654544064.534993 -2.851800 1.195263 -4.442288 1.396836 28.753776 4.695871
1654544064.539995 -2.865649 1.285813 -4.498749 1.505102 29.992822 4.443250
1654544064.544997 -2.677091 1.324164 -4.507271 1.613363 31.231808 4.190641
1654544064.549999 -2.618500 1.323099 -4.517924 1.945142 31.911875 7.769950
1654544064.555001 -2.678157 1.364645 -4.569059 2.137600 32.940322 8.960784
1654544064.560002 -2.522623 1.407257 -4.539230 2.330049 33.968719 10.151559
1654544064.565004 -2.520493 1.459457 -4.345346 2.492714 35.235214 9.109474
1654544064.570005 -2.536472 1.543615 -4.329367 2.673135 36.359839 9.398147
1654544064.575007 -2.487468 1.543615 -4.318714 2.853556 37.484464 9.686821
1654544064.580009 -2.517297 1.487155 -4.107785 3.268661 36.842141 9.547563
1654544064.585010 -2.353241 1.445608 -3.921358 3.551312 37.196957 9.649798
1654544064.590012 -2.320217 1.467979 -3.886203 3.833976 37.551790 9.752038
1654544064.595013 -2.402245 1.523375 -3.732800 2.933412 37.283147 10.363131
1654544064.600015 -2.338327 1.564921 -3.573006 2.656792 37.343282 10.705899
1654544064.605017 -2.301042 1.643753 -3.551700 2.380172 37.403417 11.048668
1654544064.610018 -2.360698 1.698083 -3.530394 2.801930 37.882597 11.472947
1654544064.615021 -2.374547 1.685300 -3.392971 2.886127 38.159242 11.857847
1654544064.620022 -2.461901 1.658667 -3.309878 2.970319 38.435874 12.242727
1654544064.625024 -2.468293 1.666124 -3.218262 3.054508 38.712493 12.627589
1654544064.630025 -2.511970 1.672516 -3.070186 2.740975 38.027953 12.200428
1654544064.635027 -2.688809 1.714063 -2.942350 2.680839 37.955791 12.290632
1654544064.640029 -2.774033 1.732173 -2.957264 2.620707 37.883633 12.380831
1654544064.645030 -2.826233 1.707671 -2.948742 2.560556 38.833825 13.013226
1654544064.650032 -2.883759 1.684234 -2.895477 2.500419 39.158566 13.313914
1654544064.655034 -2.992419 1.707671 -2.827298 2.440279 39.483324 13.614615
1654544064.660035 -3.224654 1.660798 -2.782556 2.553046 39.058791 14.059291
1654544064.665037 -3.449431 1.561725 -2.727160 2.565072 39.070817 14.420066
1654544064.670039 -3.620944 1.456261 -2.601455 2.577099 39.082843 14.780858
1654544064.675040 -3.709364 1.420041 -2.566300 2.202709 38.588531 14.248952
1654544064.680042 -3.684862 1.437086 -2.591867 2.040340 38.372039 14.206856
1654544064.685044 -4.017235 1.388082 -2.622761 1.877963 38.155536 14.164758
1654544064.690046 -4.263319 1.319903 -2.618500 2.768555 38.722627 14.343049
1654544064.695047 -4.257992 1.264508 -2.559908 3.123388 38.891022 14.409204
1654544064.700049 -4.298473 1.194198 -2.394787 3.478204 39.059410 14.475357
1654544064.705050 -4.517924 1.144129 -2.275474 3.833037 39.227805 14.541512
1654544064.710052 -4.652152 1.071689 -2.304237 2.040785 38.760651 13.920608
1654544064.715054 -4.631911 0.964094 -2.239254 1.643871 38.706526 13.746206
1654544064.720056 -4.623389 0.883131 -2.167879 1.246957 38.652401 13.571804
1654544064.725057 -4.805554 0.826670 -2.183859 2.379068 38.904086 14.041202
1654544064.730059 -4.815142 0.821344 -2.159357 2.553466 38.964224 14.107353
1654544064.735061 -4.905693 0.758491 -2.092243 2.727873 39.024365 14.173508
1654544064.740062 -4.908888 0.634917 -1.988909 2.061445 38.619037 13.759179
1654544064.745064 -4.965349 0.501755 -1.926057 1.899051 38.492731 13.632872
1654544064.750066 -4.754420 0.382442 -1.811005 1.736657 38.366425 13.506566
1654544064.755067 -4.874799 0.278042 -1.690626 1.825126 38.379492 14.258200
1654544064.760069 -4.828991 0.263128 -1.750283 1.770996 38.313333 14.510805
1654544064.765071 -4.929129 0.214125 -1.703410 1.716871 38.247180 14.763386
1654544064.770072 -4.844971 0.090550 -1.554268 1.984107 38.271008 14.630339
1654544064.775074 -4.949370 -0.017045 -1.461587 2.080331 38.246952 14.702508
1654544064.780076 -4.985590 -0.107595 -1.375298 2.176556 38.222895 14.774676
1654544064.785077 -4.893974 -0.213059 -1.231483 1.578102 38.210610 14.623141
1654544064.790079 -4.971741 -0.296153 -1.102582 1.319478 38.192566 14.581039
1654544064.795081 -5.006896 -0.312132 -1.115366 1.060868 38.174524 14.538940
1654544064.800082 -5.017549 -0.327046 -1.143064 0.802244 38.156480 14.496838
1654544064.805084 -5.018614 -0.374985 -1.064232 2.247882 38.255396 15.022814
1654544064.810086 -5.173082 -0.413335 -0.926808 2.602710 38.279453 15.185192
1654544064.815087 -5.189061 -0.435706 -0.866086 2.957521 38.303508 15.347563
1654544064.820089 -5.138992 -0.462339 -0.754230 1.452752 36.827375 11.275037
1654544064.825091 -5.199715 -0.427184 -0.678594 1.091904 36.274076 9.807591
1654544064.830092 -5.117686 -0.321720 -0.779797 0.731057 35.720777 8.340144
1654544064.835094 -4.461463 -0.165121 -0.838389 1.883028 35.269313 6.829095
1654544064.840096 -3.734931 -0.056461 -0.714814 2.147628 34.758152 5.343724
1654544064.845098 -3.459019 0.087354 -0.642374 2.412242 34.246967 3.858280
1654544064.850099 -2.923175 0.218386 -0.767014 2.353720 35.634380 7.624259
1654544064.855101 -2.358567 0.269520 -0.684986 2.474008 35.971187 8.484319
1654544064.860102 -1.997432 0.324916 -0.380311 2.594290 36.307978 9.344337
1654544064.865104 -1.547876 0.493232 -0.294022 1.560669 36.236692 10.891125
1654544064.870106 -1.392343 0.695639 -0.352613 1.120631 36.375333 12.084652
1654544064.875069 -1.229353 0.703096 -0.174709 0.683944 36.512919 13.269091
1654544064.880071 -1.106843 0.659419 -0.006392 1.003062 37.645760 13.711716
1654544064.885073 -0.814952 0.713749 0.051134 0.966975 38.313368 14.505627
1654544064.890074 -1.121758 0.830932 -0.011718 0.930886 38.981008 15.299577
1654544064.895076 -1.200590 0.858629 0.014914 0.894799 39.648615 16.093488
1654544064.900078 -1.270899 0.747838 0.304675 1.638118 38.286332 15.101031
1654544064.905079 -1.067428 0.661549 0.536910 1.890704 38.202136 15.233337
1654544064.910081 -1.393408 0.606154 0.684986 2.143289 38.117941 15.365644
1654544064.915082 -1.323099 0.673268 0.682855 0.258898 37.897353 14.133925
1654544064.920084 -1.404061 0.735055 0.649831 -0.336474 37.759035 13.724983
1654544064.925086 -1.238940 0.746773 0.622133 -0.931874 37.620710 13.316021
1654544064.930088 -1.418975 0.656223 0.605089 0.809238 37.017846 14.469423
1654544064.935089 -1.545746 0.591240 0.692443 1.212189 36.681051 14.728034
1654544064.940091 -1.567052 0.676464 0.731859 1.615161 36.344240 14.986657
1654544064.945093 -1.295401 0.745708 0.758491 0.094740 37.514953 14.868376
1654544064.950094 -1.568117 0.735055 0.630656 -0.392404 37.875800 14.952574
1654544064.955096 -1.684234 0.637048 0.501755 -0.879548 38.236647 15.036772
1654544064.960098 -1.550007 0.585913 0.509212 0.885508 38.323547 15.180593
1654544064.965099 -1.757740 0.617872 0.579522 1.535141 38.546106 15.294881
1654544064.970101 -1.948428 0.725467 0.623199 2.184807 38.768677 15.409174
1654544064.975103 -1.868531 0.772340 0.581652 2.834472 38.991247 15.523467
1654544064.980104 -1.999562 0.657288 0.718010 0.281619 38.674423 15.654590
1654544064.985106 -2.143378 0.562477 0.747838 -0.211583 38.704496 15.774883
1654544064.990108 -2.158292 0.542236 0.657288 -0.704810 38.734571 15.895183
1654544064.995109 -2.257364 0.507081 0.748904 1.215710 38.401795 14.295893
1654544065.000111 -2.187055 0.519865 0.817083 1.642787 38.293521 13.760544
